companylist (4)
Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
GOED,1847 Goedeker Inc.,6.05,$36.97M,2020,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed,
XXII,"22nd Century Group, Inc",1.6,$222.17M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.19,$1.04B,1986,n/a,n/a,https://old.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,5.11,$116.21M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iaf,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.63,$387.24M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aef,
FCO,"Aberdeen Global Income Fund, Inc.",7.63,$66.57M,1992,n/a,n/a,https://old.nasdaq.com/symbol/fco,
ACU,Acme United Corporation.,32.33,$107.95M,1988,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
ATNM,"Actinium Pharmaceuticals, Inc.",11.19,$152.03M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm,
AE,"Adams Resources & Energy, Inc.",26.74,$113.44M,n/a,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
ACY,AeroCentury Corp.,2.23,$3.45M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
UAVS,"AgEagle Aerial Systems, Inc.",2.87,$166.4M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs,
AGE,"AgeX Therapeutics, Inc.",1.78,$67.09M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
AIRI,Air Industries Group,1.27,$40.3M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,2.46,$337.17M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu,
AAU,"Almaden Minerals, Ltd.",1.02,$122.96M,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
APT,"Alpha Pro Tech, Ltd.",11.98,$162.66M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt,
AAMC,Altisource Asset Management Corp,22.76,$37.56M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
AMBO,Ambow Education Holding Ltd.,2.47,$57.34M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo,
DIT,AMCON Distributing Company,90.995,$50.18M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit,
AMS,American Shared Hospital Services,2.101,$12.1M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams,
USAS,Americas Gold and Silver Corporation,2.7,$318.53M,2017,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas,
AP.WS,Ampco-Pittsburgh Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ap.ws,
AMPE,"Ampio Pharmaceuticals, Inc.",0.8751,$161.94M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe,
ANVS,"Annovis Bio, Inc.",5.8465,$40.29M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs,
ARMP,"Armata Pharmaceuticals, Inc.",3.17,$59.28M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp,
AINC,Ashford Inc.,6.5,$16.6M,2014,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc,
AWX,Avalon Holdings Corporation,2.27,$8.8M,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx,
ASM,Avino Silver,0.9199,$82.39M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm,
BTG,B2Gold Corp,5.47,$5.75B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg,
BTN,"Ballantyne Strong, Inc",1.95,$28.84M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn,
BCV,Bancroft Fund Limited,27.21,$145.66M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv,
BCV^A,Bancroft Fund Limited,25.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv^a,
BHB,"Bar Harbor Bankshares, Inc.",23.75,$354.55M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb,
