Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
VCVCU,10X Capital Venture Acquisition Corp,10.07,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcu,
TXG,"10x Genomics, Inc.",150.67,$16.21B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",7.14,$588.05M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",3.15,$15.62M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",24.965,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
ATNF,180 Life Sciences Corp.,2.91,$71M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnf,
ATNFW,180 Life Sciences Corp.,0.1999,n/a,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnfw,
FLWS,"1-800-FLOWERS.COM, Inc.",24.97,$1.61B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.86,$47.03M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
ONEM,"1Life Healthcare, Inc.",33.63,$4.47B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
FCCY,1st Constitution Bancorp (NJ),16.5,$168.92M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,39.16,$1B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",29.99,$3.99B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",33.13,$2.39B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 DigiTech, Inc.",13.19,$1.94B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
KRKR,36Kr Holdings Inc.,3.45,$129.36M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,
FVAM,5:01 Acquisition Corp.,10.14,$110.74M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/fvam,
JOBS,"51job, Inc.",72.1,$4.86B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
ETNB,"89bio, Inc.",27.28,$542.3M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,
EGHT,8x8 Inc,20.29,$2.16B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
NMTR,"9 Meters Biopharma, Inc.",1.07,$160.85M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr,
JFU,9F Inc.,1.64,$320.11M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AAON,"AAON, Inc.",65.92,$3.44B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
ABCM,Abcam plc,19.03,$4.31B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/abcm,
ABEO,Abeona Therapeutics Inc.,1.65,$162.57M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
ABMD,"ABIOMED, Inc.",271.9,$12.29B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,2.59,$21.76M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,
ABST,Absolute Software Corporation,10.21,$498.02M,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/abst,
ACIU,AC Immune SA,5.57,$399.6M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",69.71,$2.94B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,3.7,$182.33M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,
ASO,"Academy Sports and Outdoors, Inc.",16.58,$1.49B,2020,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aso,
ACHC,"Acadia Healthcare Company, Inc.",43.18,$3.84B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,56,$8.9B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,
ACAM,Acamar Partners Acquisition Corp.,10.2,$389.61M,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acam,
ACAMU,Acamar Partners Acquisition Corp.,10.9,n/a,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acamu,
ACAMW,Acamar Partners Acquisition Corp.,1.3,n/a,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acamw,
ACST,"Acasti Pharma, Inc.",0.2527,$24.48M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",8.12,$463.08M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx,
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp,
XLRN,Acceleron Pharma Inc.,117.75,$7.09B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn,
ACCD,"Accolade, Inc.",51.84,$2.85B,2020,n/a,n/a,https://old.nasdaq.com/symbol/accd,
ARAY,Accuray Incorporated,4.3,$392.17M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray,
ACEV,ACE Convergence Acquisition Corp.,9.85,$283.19M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acev,
ACEVU,ACE Convergence Acquisition Corp.,10.1,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevu,
ACEVW,ACE Convergence Acquisition Corp.,0.7525,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevw,
ACLL,"ACell, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acll,
ACRX,"AcelRx Pharmaceuticals, Inc.",1.52,$137.53M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,2.6,$31.94M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer,
ACHV,"Achieve Life Sciences, Inc. ",9.1,$32.92M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv,
ACIW,"ACI Worldwide, Inc.",33.14,$3.87B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,
ACACU,Acies Acquisition Corp.,10.1,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acacu,
ACRS,"Aclaris Therapeutics, Inc.",3.32,$142.49M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",83.72,$1.55B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,26.55,$231.07M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb,
STWO,ACON S2 Acquisition Corp.,n/a,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/stwo,
STWOU,ACON S2 Acquisition Corp.,10.1,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/stwou,
STWOW,ACON S2 Acquisition Corp.,1.05,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/stwow,
ACOR,"Acorda Therapeutics, Inc.",0.6915,$33.17M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor,
