Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DDD,3D Systems Corporation,8.58,$1.07B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,176.89,$102.03B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,2.75,$118.25M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai,
EGHT,8x8 Inc,20.29,$2.16B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,1.5,$32.12M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
AOS,A.O Smith Corporation,57.08,$9.22B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
ATEN,"A10 Networks, Inc.",8.12,$622.87M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten,
AIR,AAR Corp.,29.57,$1.04B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aarons Holdings Company, Inc.",64.67,$4.37B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,26.6,$54.76B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,107.62,$190.74B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,104.89,$185.18B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,22.61,$1.41B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,10.04,$126M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,5.17,$441.56M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,10.19,$177.63M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.45,$126.71M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq,
ASGI,Aberdeen Standard Global Infrastructure Income Fund,18.09,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/asgi,
AOD,Aberdeen Total Dynamic Dividend Fund,8.55,$901.44M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,39.96,$2.66B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,14.76,$1.27B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr,
ACEL,"Accel Entertainment, Inc.",10.92,$1.06B,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel,
ACN,Accenture plc,250.12,$158.6B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,7.98,$754.08M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",20.725,$53.49M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv,
AYI,"Acuity Brands, Inc. ",121.14,$4.53B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,37.76,$2.81B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",16.81,$1.83B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",11.43,$340.37M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo,
ADCT,ADC Therapeutics SA,34.5,$2.65B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct,
AGRO,Adecoagro S.A.,6.22,$729.85M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro,
ADNT,Adient plc,31.98,$3B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt,
ADT,ADT Inc.,8.08,$6.67B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,29.91,$1.56B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge,
AAP,Advance Auto Parts Inc,149.93,$10.17B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap,
WMS,"Advanced Drainage Systems, Inc.",70.58,$4.97B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms,
