"","x"
"1","A"
"2","AA"
"3","AAMC"
"4","AAN"
"5","AAP"
"6","AAT"
"7","AAU"
"8","AB"
"9","ABB"
"10","ABBV"
"11","ABC"
"12","ABEV"
"13","ABG"
"14","ABM"
"15","ABR"
"16","ABT"
"17","AC"
"18","ACA"
"19","ACB"
"20","ACC"
"21","ACCO"
"22","ACEL"
"23","ACH"
"24","ACI"
"25","ACM"
"26","ACN"
"27","ACND"
"28","ACP"
"29","ACRE"
"30","ACU"
"31","ACV"
"32","ACY"
"33","ADC"
"34","ADCT"
"35","ADM"
"36","ADNT"
"37","ADS"
"38","ADSW"
"39","ADT"
"40","ADX"
"41","AE"
"42","AEB"
"43","AEE"
"44","AEF"
"45","AEFC"
"46","AEG"
"47","AEL"
"48","AEM"
"49","AEO"
"50","AER"
"51","AES"
"52","AFB"
"53","AFC"
"54","AFG"
"55","AFGB"
"56","AFGC"
"57","AFGD"
"58","AFGE"
"59","AFGH"
"60","AFI"
"61","AFL"
"62","AFT"
"63","AG"
"64","AGCO"
"65","AGD"
"66","AGE"
"67","AGI"
"68","AGM"
"69","AGO"
"70","AGR"
"71","AGRO"
"72","AGS"
"73","AGX"
"74","AHC"
"75","AHH"
"76","AHL"
"77","AHT"
"78","AI"
"79","AIC"
"80","AIF"
"81","AIG"
"82","AIM"
"83","AIN"
"84","AINC"
"85","AIO"
"86","AIR"
"87","AIRI"
"88","AIT"
"89","AIV"
"90","AIW"
"91","AIZ"
"92","AIZP"
"93","AJG"
"94","AJRD"
"95","AJX"
"96","AJXA"
"97","AKO"
"98","AKR"
"99","AL"
"100","ALB"
"101","ALC"
"102","ALE"
"103","ALEX"
"104","ALG"
"105","ALIN"
"106","ALK"
"107","ALL"
"108","ALLE"
"109","ALLY"
"110","ALP"
"111","ALSN"
"112","ALTG"
"113","ALUS"
"114","ALV"
"115","ALX"
"116","AM"
"117","AMBC"
"118","AMBO"
"119","AMC"
"120","AMCR"
"121","AME"
"122","AMG"
"123","AMH"
"124","AMK"
"125","AMN"
"126","AMOV"
"127","AMP"
"128","AMPE"
"129","AMPY"
"130","AMRC"
"131","AMRX"
"132","AMS"
"133","AMT"
"134","AMWL"
"135","AMX"
"136","AN"
"137","ANET"
"138","ANF"
"139","ANH"
"140","ANTM"
"141","ANVS"
"142","AOD"
"143","AON"
"144","AONE"
"145","AOS"
"146","AP"
"147","APAM"
"148","APD"
"149","APG"
"150","APH"
"151","APLE"
"152","APO"
"153","APRN"
"154","APSG"
"155","APT"
"156","APTS"
"157","APTV"
"158","AQN"
"159","AQNA"
"160","AQNB"
"161","AQUA"
"162","AR"
"163","ARA"
"164","ARC"
"165","ARCH"
"166","ARCO"
"167","ARD"
"168","ARDC"
"169","ARE"
"170","ARES"
"171","ARGD"
"172","ARGO"
"173","ARI"
"174","ARL"
"175","ARLO"
"176","ARMK"
"177","ARMP"
"178","ARNC"
"179","AROC"
"180","ARR"
"181","ARW"
"182","ASA"
"183","ASAN"
"184","ASAQ"
"185","ASB"
"186","ASC"
"187","ASG"
"188","ASGI"
"189","ASGN"
"190","ASH"
"191","ASIX"
"192","ASM"
"193","ASPL"
"194","ASPN"
"195","ASR"
"196","ASX"
"197","AT"
"198","ATCO"
"199","ATEN"
"200","ATEST"
"201","ATGE"
"202","ATH"
"203","ATHM"
"204","ATI"
"205","ATKR"
"206","ATNM"
"207","ATO"
"208","ATR"
"209","ATTO"
"210","ATUS"
"211","ATV"
"212","AU"
"213","AUG"
"214","AUMN"
"215","AUY"
"216","AVA"
"217","AVAL"
"218","AVAN"
"219","AVB"
"220","AVD"
"221","AVK"
"222","AVLR"
"223","AVNS"
"224","AVNT"
"225","AVTR"
"226","AVY"
"227","AVYA"
"228","AWF"
"229","AWI"
"230","AWK"
"231","AWP"
"232","AWR"
